RMSE,MSRE,CE,R2
0.07791886600782921,0.2756915941253412,0.11865690384056804,-0.08235233019494625
0.07693700475084046,0.25510227959568743,0.1618177891782217,-0.05524659396072917
0.07680741681822158,0.2537509777705002,0.20413019284016412,-0.05169480348817124
0.07670226813542749,0.25299462205031537,0.2409881826245459,-0.048817252507298736
0.07659686883164625,0.25225417358511365,0.2722713086038953,-0.045936799053642785
0.07649020156438999,0.2515093751515506,0.2985641990763231,-0.043025726091027394
0.07638202685005366,0.2507583381011958,0.3206178947301243,-0.04007765628362048
0.07627213010496274,0.24999978514975374,0.3391594843226351,-0.03708692857412288
0.07616029651044082,0.249232464177814,0.3548235075483238,-0.034047912080840126
0.0760463099265125,0.24845512747222354,0.36813773112595266,-0.03095497809130321
0.0759299526354918,0.24766652982453494,0.3795310046476903,-0.027802494960413204
0.075811005151269,0.2468654275057087,0.38934817626353063,-0.024584825032464508
0.07568924607125821,0.24605057753398582,0.39786564858220824,-0.021296322954354352
0.07556445197277299,0.2452207372270191,0.4053051826634357,-0.017931335422952
0.07543639735676687,0.24437466404982622,0.411845329054289,-0.0144842024399221
0.07530485464225728,0.2435111157723862,0.4176305777205801,-0.010949260155599383
0.07516959421508636,0.24262885095205808,0.42277855806894277,-0.007320845389961361
0.07503038453498304,0.24172662975715445,0.427385659722884,-0.003593301923950687
0.07488699230517008,0.24080321514889377,0.4315314089251457,0.0002390113419786788
0.07473918270899547,0.23985737443946495,0.4352818780490115,0.0041817102634641445
0.0745867197182505,0.23888788124410426,0.43869234868151075,0.008240373263794565
0.07442936647795467,0.23789351784477725,0.44180939963143884,0.012420526986248737
0.07426688577242142,0.2368730779821979,0.4446725515350527,0.016727629698108037
0.07409904057735563,0.23582537009145574,0.4473155686901064,0.02116705236674643
0.07392559470255439,0.23474922099435447,0.44976749494415447,0.025744057341650972
0.07374631352946347,0.2336434800585684,0.4520534823221363,0.030463774594164272
0.07356096484736901,0.23250702382988583,0.4541954573499289,0.03533117548948295
0.07336931979134523,0.2313387611389206,0.4562126596038855,0.04035104409369639
0.0731711538842241,0.23013763867777964,0.458122079156396,0.04552794605249999
0.07296624818377039,0.2289026470351074,0.4599388135679646,0.0508661951182755
0.07275439053492369,0.2276328271696706,0.4616763605191812,0.05636981744844316
0.07253537692538863,0.22632727729320057,0.46334685866937214,0.0620425138505486
0.07230901294100325,0.2249851601224745,0.4649612866380005,0.06788762020822503
0.07207511531519761,0.22360571044885508,0.4665296279230938,0.07390806638639091
0.0718335135644593,0.22218824296051534,0.46806100796008143,0.08010633398336986
0.07158405169908515,0.22073216023887454,0.4695638082583503,0.08648441337054247
0.07132658999562569,0.21923696083624172,0.4710457615755573,0.09304376053560193
0.07106100681438801,0.21770224732703258,0.47251403130460806,0.09978525432106278
0.07078720044218721,0.21612773421011008,0.4739752776392479,0.10670915472363107
0.07050509093733853,0.21451325552592806,0.475435712595382,0.11381506298877297
0.07021462195072425,0.2128587720391484,0.4769011455776611,0.12110188429598634
0.06991576249380498,0.21116437782661737,0.47837702086960276,0.12856779387947603
0.06960850862178193,0.2094303061022416,0.47986844817723073,0.13621020746298285
0.06929288499792653,0.20765693410560465,0.48138022715615314,0.14402575690209352
0.06896894630353165,0.2058447868807914,0.4829168666917223,0.15201027191869754
0.06863677845717986,0.20399453977676044,0.48448259957093803,0.1601587687767405
0.06829649960723055,0.2021070195114335,0.4860813930831083,0.16846544668301866
0.06794826086276866,0.2001832036592995,0.4877169560011112,0.17692369259894036
0.06759224673086038,0.19822421844711255,0.48939274233158914,0.18552609501792383
0.067228675231934,0.19623133477456814,0.4911119521698516,0.19426446709834266
0.06685779767050186,0.19420596241653934,0.49287752995650147,0.2031298793454076
0.06647989804527098,0.19214964241034024,0.4946921604067275,0.21211270181028496
0.06609529209087198,0.19006403768440946,0.4965582623612845,0.22120265552671803
0.06570432595283061,0.18795092204270558,0.4984779808016094,0.23038887264135732
0.0653073745077864,0.18581216768019757,0.5004531772662151,0.23965996442283122
0.06490483935198817,0.18364973146657634,0.5024854189121292,0.24900409606727603
0.06449714649239309,0.1814656402953982,0.5045759664754987,0.25840906696577826
0.06408474378575806,0.17926197585088027,0.5067257614027019,0.26786239487505537
0.06366809818142338,0.1770408591914669,0.5089354124463262,0.27735140224896215
0.06324769283245528,0.17480443558449435,0.5112051820472553,0.2868633028575437
0.06282402414686297,0.17255486004673443,0.5135349728547689,0.2963852867528892
0.06239759885515737,0.1702942840481241,0.5159243147699221,0.30590460164614963
0.06196893117207039,0.16802484381829186,0.518372352931242,0.31540862884365506
0.061538540128401265,0.16574865065602154,0.5208778370942817,0.3248849520546524
0.061106947143412395,0.16346778357974617,0.5234391128860125,0.33432141762773326
0.06067467389887632,0.1611842845733311,0.5260541154383382,0.34370618509158213
0.06024224056286886,0.15890015657753415,0.5287203659188937,0.3530277672583687
0.05981016439505822,0.15661736425720546,0.5314349714798726,0.36227505958009953
0.05937895874611027,0.15433783744201898,0.5341946291322739,0.37143735891127105
0.05894913244273966,0.15206347700069905,0.5369956340219056,0.38050437230290146
0.05852118952789231,0.14979616277226107,0.5398338925316858,0.38946621690933625
0.05809562930375386,0.14753776305079994,0.5427049405597104,0.3983134125042833
0.057672946605049194,0.1452901450109867,0.5456039672249003,0.4070368684511393
0.05725363221280198,0.14305518537783085,0.5485258441298941,0.41562786723109635
0.05683817330565028,0.14083478059331503,0.5514651601678789,0.42407804678142624
0.05642705383814161,0.13863085572013722,0.554416261698924,0.4323793839210427
0.05602075473405434,0.13644537135240317,0.5573732977467302,0.44052418103377056
0.05561975378826927,0.1342803278757761,0.5603302696867232,0.4485050579424492
0.05522452518315744,0.13213776653324458,0.5632810847178606,0.45631495054889537
0.054835538544498325,0.13001976690242076,0.5662196122437896,0.463947117354212
0.054453257486726435,0.12792844056822525,0.569139742142792,0.4713951544376206
0.0540781376264645,0.12586592097046773,0.5720354437901568,0.4786530188933056
0.05371062407511673,0.12383434960733866,0.5749008246194988,0.48571506014065646
0.05335114845372102,0.12183585897009633,0.5777301869766537,0.4925760579728633
0.053000125504166044,0.11987255275881394,0.5805180820367527,0.4992312657285968
0.05265794939815906,0.11794648407250553,0.5832593596208394,0.5056764565936496
0.052324989867142006,0.11605963237053007,0.5859492128629598,0.5119079707876828
0.052001588291207296,0.1142138800597165,0.58858321683484,0.5179227612804467
0.051688053892058904,0.11241098957123724,0.5911573604267543,0.5237184357147198
0.05138466017381274,0.11065258175369203,0.5936680709986053,0.5292932923831417
0.0510916417462567,0.10894011632931812,0.5961122315439493,0.5346463483948808
0.050809191648896544,0.10727487504566219,0.5984871903394022,0.539777358551436
0.050537459272072725,0.10565794801534868,0.6007907632712287,0.5446868238974849
0.050276548945254955,0.1040902235816857,0.6030212292299898,0.5493759893908947
0.050026519234186204,0.10257238188866179,0.6051773191344572,0.5538468306129967
0.0497873829596818,0.10110489217989052,0.6072581992821503,0.5581020298876598
0.049559107923312765,0.09968801371054489,0.6092634498220537,0.562144942571799
0.049341618300367145,0.09832180003557578,0.6111930392054379,0.5659795546035978
0.049134796639514255,0.09700610634079819,0.613047295493653,0.5696104326373607
0.048938486392202045,0.09574059941255887,0.6148268753917405,0.5730426682523748
0.0487524948833606,0.0945247697969507,0.6165327318378316,0.5762818177994198
0.04857659662844815,0.09335794567929054,0.6181660809163331,0.5793338394498984
